BYSID,J007C,J009
1001,1583,1
1004,0450,1
1007,1332,2
1007,1331,1
1008,1032,2
1010,0228,2
1011,1331,2
1012,0464,1
1012,0464,1
1014,1045,2
1015,1032,1
1015,1331,2
1015,1045,1
1015,0453,1
1015,0453,1
1018,0959,2
1018,0959,2
1018,0959,2
1018,1250,2
1019,1044,2
1019,1044,2
1020,1672,1
1020,2272,1
1021,0220,1
1022,0677,1
1022,0640,1
1022,0677,1
1022,0640,1
1023,1970,1
1023,1970,1
1023,1970,1
1023,1970,1
1023,1970,1
1025,1032,2
1026,1045,2
1026,1045,2
1026,1331,2
1026,0252,2
1027,1319,2
1027,1331,2
1027,1331,2
1027,1417,2
1028,0462,2
1029,1331,2
1029,1331,2
1029,0220,1
1029,0321,1
1032,1114,1
1033,0252,2
1033,1113,1
1034,0241,2
1034,0241,2
1034,0251,2
1039,1045,2
1039,0462,2
1040,1331,2
1040,1331,2
1040,1045,2
1040,1045,1
1040,1045,1
1041,0651,1
1041,0651,1
1044,1331,2
1044,1332,2
1044,2322,2
1045,1331,1
1046,0252,1
1046,1331,2
1047,1119,2
1047,0243,2
1047,1045,2
1047,2242,2
1048,1250,2
1048,1045,2
1054,1045,2
1054,0217,1
1054,0242,1
1055,1219,1
1055,0220,1
1055,0220,1
1056,1331,2
1056,1045,2
1056,1045,2
1056,1331,2
1058,2028,1
1059,1032,2
1059,0322,1
1060,1332,2
1060,1310,1
1060,1331,2
1060,1045,1
1060,1045,1
1061,1331,2
1061,1045,2
1061,1045,2
1061,1052,2
1061,1045,2
1061,1032,2
1061,1332,2
1062,1032,2
1062,1032,1
1064,0453,2
1064,0453,1
1065,1044,2
1065,1331,2
1065,1331,2
1065,1043,2
1068,0462,2
1068,0462,2
1070,1331,2
1071,1970,2
1072,1219,2
1072,1970,1
1072,1970,1
1072,1970,1
1074,1250,1
1074,1250,2
1074,1044,1
1074,1044,1
1074,1672,1
1076,0225,1
1076,0222,1
1076,1114,1
1077,1331,2
1077,0651,1
1078,0952,1
1080,0677,1
1080,0677,2
1080,0640,2
1080,0677,1
1080,0677,1
1081,1331,2
1081,1331,1
1082,1331,2
1084,1262,2
1085,0952,2
1085,0252,2
1085,2266,1
1087,0252,2
1088,0677,1
1089,0462,2
1091,1219,1
1091,1212,1
1091,1212,1
1091,1045,2
1091,1212,2
1091,1212,1
1091,1212,1
1095,1970,1
1095,1912,1
1104,1045,1
1105,1490,2
1105,1045,2
1107,1032,1
1109,1045,2
1109,1045,2
1109,1032,2
1109,0224,1
1109,0220,1
1110,1044,2
1110,0156,1
1110,1045,2
1112,1045,2
1113,0232,1
1113,0220,1
1113,0252,1
1113,0252,1
1113,0252,2
1113,1970,2
1114,2410,1
1114,2410,1
1117,1032,2
1117,0851,1
1118,1045,2
1118,0220,1
1119,1332,2
1119,1331,2
1119,1310,2
1119,1032,1
1119,1032,1
1119,1331,1
1119,1032,1
1120,0640,1
1120,0663,1
1121,1970,2
1122,0232,1
1122,0220,1
1122,0220,1
1122,0225,1
1123,1331,2
1124,1970,2
1124,1045,2
1126,1032,2
1126,1310,2
1126,1331,2
1128,1331,2
1128,1331,2
1128,0462,2
1128,0462,1
1129,1045,2
1129,1045,2
1129,1045,2
1131,1310,2
1131,0321,2
1131,1032,2
1131,1045,2
1131,0226,1
1131,0226,1
1132,1045,2
1132,1250,2
1132,0252,2
1132,1033,2
1132,0852,2
1136,1581,1
1136,1331,2
1136,1032,2
1137,1045,2
1137,0651,1
1137,0651,1
1138,1331,2
1138,0252,2
1138,1970,2
1138,1045,2
1139,0220,1
1142,0462,2
1143,1032,2
1145,1045,2
1145,0232,1
1145,0232,2
1145,1045,2
1145,0252,2
1145,0252,2
1145,1045,2
1145,0252,2
1145,0252,2
1145,0722,2
1146,0224,1
1147,0952,2
1148,0241,2
1150,0879,2
1151,0252,2
1152,1623,2
1152,1043,2
1153,1331,2
1153,0959,2
1153,1264,2
1153,1583,1
1155,0224,1
1156,1332,2
1156,1332,2
1156,1970,2
1158,1331,2
1158,1331,2
1158,1332,2
1158,1032,2
1159,1045,2
1159,1331,2
1159,1031,1
1159,1031,2
1160,0241,2
1160,0241,2
1163,2272,2
1165,1032,1
1165,1045,1
1165,1045,1
1165,1045,1
1165,1045,1
1166,0241,2
1166,0220,2
1166,1013,1
1167,1032,2
1167,1331,2
1167,0462,2
1167,0462,2
1168,1032,2
1168,1045,2
1168,1045,2
1168,2127,2
1169,1032,2
1169,1331,2
1170,1250,1
1170,1250,2
1170,1331,2
1170,0228,2
1171,0462,1
1171,1014,1
1171,1052,2
1171,1052,1
1171,1222,1
1171,1052,1
1171,0462,1
1172,1331,2
1172,1219,1
1172,1219,1
1172,1212,1
1175,1034,2
1175,1331,2
1175,1045,2
1175,1250,1
1176,1045,2
1176,0220,2
1176,0220,2
1176,1020,1
1180,1331,2
1180,1331,2
1180,1032,2
1181,0640,1
1182,1032,2
1182,1032,2
1183,0232,1
1183,1970,2
1183,0651,1
1183,0651,1
1183,1045,2
1184,1331,2
1184,2028,2
1185,1970,2
1185,1970,1
1186,1581,2
1191,1045,2
1192,1320,2
1192,1320,1
1192,1119,1
1192,1320,2
1192,1119,2
1192,1310,1
1193,1219,1
1193,1032,1
1193,1032,1
1193,1032,1
1193,1032,1
1197,1670,1
1197,1670,1
1198,1121,2
1198,1333,2
1198,1045,2
1198,1333,2
1199,0952,2
1201,1032,2
1201,1820,1
1201,0220,1
1205,0242,2
1206,1045,1
1206,1045,1
1209,1521,1
1210,1033,1
1210,1014,1
1210,1014,1
1213,1970,1
1213,1970,1
1213,1970,1
1216,0252,2
1218,0911,1
1219,0252,2
1219,2272,2
1220,1331,2
1220,0232,1
1220,1970,1
1220,0640,1
1220,0220,1
1220,1045,1
1220,0221,1
1220,1045,1
1220,1045,1
1220,0856,1
1222,0679,1
1222,2020,1
1223,1045,2
1223,1045,2
1225,1045,2
1225,1045,2
1225,1045,2
1225,1045,1
1227,1331,2
1227,1319,2
1229,1970,1
1229,1970,1
1229,1970,1
1231,0241,2
1231,0242,2
1232,1332,2
1232,1332,2
1232,1332,2
1232,1314,1
1234,1043,2
1234,1032,2
1234,0651,1
1234,0651,1
1236,1032,2
1236,1912,1
1238,2028,2
1241,1032,2
1241,0959,2
1242,1121,2
1243,1250,2
1243,0252,2
1247,0252,2
1247,1045,2
1247,1332,2
1248,1045,2
1248,1032,2
1248,0640,2
1248,0228,1
1248,1139,1
1248,1331,2
1248,1331,2
1248,1331,2
1248,1045,2
1248,1332,2
1251,1045,2
1251,1250,2
1251,1051,2
1252,1219,1
1253,1970,1
1253,1045,1
1253,1331,2
1253,1212,2
1253,1213,1
1254,0640,1
1255,1045,2
1257,1849,1
1257,1212,1
1257,1212,1
1258,1970,1
1258,1970,1
1258,1970,1
1259,1331,2
1259,1250,1
1259,0232,1
1260,1121,2
1261,1045,2
1261,1045,2
1261,0220,1
1262,1583,1
1262,1583,1
1262,1583,1
1262,1583,1
1262,1583,1
1263,1031,2
1267,1045,2
1269,0640,1
1269,0640,1
1275,1045,2
1275,1670,1
1275,0224,1
1277,1331,2
1277,1331,2
1277,0677,2
1277,0413,2
1277,0640,1
1277,0640,1
1278,0462,2
1278,0220,2
1279,1332,2
1279,1045,2
1282,1331,2
1282,1331,2
1283,1043,2
1284,1222,1
1284,1045,1
1284,0220,1
1284,0220,1
1284,0220,1
1285,0241,2
1288,1331,2
1289,1250,2
1289,0462,2
1289,0464,2
1289,0711,1
1289,0711,1
1290,1331,2
1290,1331,2
1290,1045,2
1291,1331,2
1291,1032,2
1291,1032,2
1292,1250,1
1292,1045,2
1292,0252,2
1292,0223,1
1293,1331,2
1296,1331,1
1296,1412,2
1297,1044,2
1298,1032,1
1298,1319,1
1298,0225,1
1298,0225,1
1300,1331,2
1300,1331,2
1302,1332,1
1304,1032,2
1304,1043,2
1307,1331,2
1307,1250,2
1308,0663,1
1308,0663,1
1309,0959,1
1309,0679,2
1309,1044,1
1310,1213,2
1313,1331,2
1314,1032,2
1315,1032,1
1315,1032,1
1316,1250,2
1318,1331,2
1318,1045,2
1318,1332,1
1320,1332,2
1320,1332,1
1320,1332,2
1321,1331,2
1321,1331,2
1321,1032,1
1321,1032,1
1321,2127,1
1321,1032,1
1321,1045,1
1322,1460,1
1323,1032,2
1324,1250,1
1324,0220,2
1324,0232,2
1324,0220,1
1325,1032,2
1325,1112,2
1325,1112,1
1326,1331,1
1326,1331,1
1327,1332,2
1328,1031,2
1328,1212,1
1329,0252,1
1330,1045,2
1330,0462,2
1330,0879,2
1330,0879,2
1332,0252,2
1333,1032,2
1333,1970,1
1333,1970,1
1333,0252,1
1333,0252,1
1334,1045,2
1334,1045,2
1335,1970,2
1337,1331,1
1337,1331,2
1339,1032,2
1339,1583,2
1339,1553,2
1339,0679,2
1342,0959,2
1342,1032,2
1342,1045,2
1342,1114,2
1342,1113,2
1346,0462,1
1346,1051,1
1346,0850,1
1347,1331,2
1347,1970,2
1347,0224,1
1349,1331,2
1350,2410,1
1350,2410,2
1351,1331,2
1351,1313,1
1352,1032,2
1352,1032,2
1355,1032,2
1355,1332,2
1356,1250,2
1356,0873,1
1357,0251,1
1358,0220,1
1359,1045,2
1359,0460,2
1360,1310,2
1363,1032,1
1363,1043,2
1364,1043,2
1365,1333,2
1365,0220,1
1366,1032,1
1366,1581,1
1367,0959,2
1367,0959,2
1367,1521,2
1367,1045,2
1371,1045,2
1371,0231,1
1372,0141,1
