BYSID,J007C
1001,1583
1004,450
1007,1332
1007,1331
1008,1032
1010,228
1012,464
1012,464
1012,464
1014,1045
1014,1970
1015,1032
1015,1331
1015,1045
1015,453
1015,453
1017,2271
1017,952
1019,1044
1019,1044
1020,1332
1020,1672
1020,2272
1021,220
1022,677
1022,640
1022,677
1022,640
1023,1970
1023,1970
1023,1970
1023,1970
1023,1970
1025,1032
1026,232
1026,1045
1026,1045
1026,1331
1026,252
1029,1331
1029,1331
1029,220
1029,321
1032,1114
1034,241
1034,241
1034,251
1035,1032
1039,1045
1039,462
1040,1331
1040,1331
1040,1045
1040,1045
1040,1045
1041,651
1041,651
1044,1331
1044,1332
1044,2322
1046,252
1046,1331
1046,722
1047,1119
1047,243
1047,1045
1047,2242
1048,1250
1048,1045
1056,1331
1056,1045
1056,1045
1056,1331
1058,2028
1059,1032
1059,322
1060,1332
1060,1310
1060,1331
1060,1045
1060,1045
1060,1332
1060,1331
1061,1331
1061,1045
1061,1045
1061,1052
1061,1045
1061,1032
1061,1332
1068,462
1068,462
1071,1970
1075,1045
1075,1045
1076,959
1076,225
1076,222
1076,1114
1077,651
1077,1331
1077,651
1078,952
1080,677
1080,677
1080,640
1080,677
1080,677
1081,1331
1081,1331
1084,1264
1084,1262
1085,952
1085,252
1085,2266
1087,252
1088,677
1091,1219
1091,1212
1091,1212
1091,1045
1091,1212
1091,1212
1091,1212
1093,1331
1093,1331
1095,1970
1095,1912
1096,2272
1096,1045
1104,1045
1105,1490
1105,1045
1105,1469
1106,1331
1107,1032
1107,1052
1107,1052
1109,1045
1109,1045
1109,1032
1109,224
1109,220
1110,1044
1110,156
1110,1045
1110,1045
1110,1045
1113,232
1113,220
1113,252
1113,252
1113,252
1113,1970
1114,2410
1114,2410
1116,1045
1117,1032
1117,851
1118,1045
1118,220
1119,1332
1119,1331
1119,1310
1119,1014
1119,1032
1119,1032
1119,1331
1119,1032
1120,640
1120,663
1121,1970
1122,232
1122,220
1122,220
1122,225
1123,1331
1124,1970
1124,1045
1128,1331
1128,1331
1128,462
1128,462
1129,1045
1129,1045
1129,1045
1130,1331
1131,1045
1131,1310
1131,1331
1131,1332
1131,321
1131,1032
1131,1045
1131,226
1131,226
1132,1032
1132,1045
1132,1250
1132,252
1132,1033
1132,852
1137,1331
1137,1045
1137,651
1137,651
1138,1331
1138,252
1138,1970
1138,1045
1142,252
1142,462
1145,1045
1145,232
1145,232
1145,1045
1145,252
1145,252
1145,1045
1145,252
1145,252
1145,722
1146,460
1146,224
1147,952
1148,241
1150,1331
1150,879
1151,252
1153,1331
1153,959
1153,1264
1153,1583
1155,224
1156,1332
1156,1332
1156,1970
1158,1331
1158,1331
1158,1332
1158,1032
1159,1045
1159,1331
1159,1031
1159,1031
1160,241
1160,241
1165,1032
1165,1045
1165,1045
1165,1045
1165,1045
1166,241
1166,220
1166,1013
1167,1032
1167,1331
1167,462
1167,462
1167,220
1168,1032
1168,1032
1168,1045
1168,1045
1168,2127
1169,1032
1169,1331
1170,1250
1170,1250
1170,1331
1170,228
1171,462
1171,1014
1171,1052
1171,1052
1171,1222
1171,1052
1171,462
1172,1331
1172,1219
1172,1219
1172,1212
1173,1332
1176,1045
1176,1045
1176,220
1176,220
1176,1020
1181,640
1182,1032
1182,1032
1182,252
1183,232
1183,1970
1183,651
1183,651
1183,1045
1184,1331
1184,2028
1185,1970
1185,1970
1186,1581
1191,1045
1192,1320
1192,1320
1192,1119
1192,1320
1192,1119
1192,1310
1193,1219
1193,1032
1193,1032
1193,1032
1193,1032
1197,1670
1197,1670
1199,952
1201,1032
1201,1139
1201,1820
1201,220
1205,242
1206,1045
1206,1045
1207,959
1209,1521
1210,1033
1210,1014
1210,1014
1213,1970
1213,1970
1213,1970
1216,252
1218,911
1220,1331
1220,232
1220,1970
1220,640
1220,220
1220,1045
1220,221
1220,1045
1220,1045
1220,856
1222,679
1222,2020
1225,1045
1225,1045
1225,1045
1225,1045
1226,1330
1227,1331
1227,1319
1229,1970
1229,1970
1229,1970
1232,1332
1232,1332
1232,1332
1232,1314
1233,1032
1233,462
1234,1043
1234,1032
1234,651
1234,651
1236,1032
1236,1912
1238,2028
1242,1121
1243,1250
1243,252
1247,252
1247,1045
1247,1332
1248,1045
1248,1032
1248,640
1248,228
1248,1139
1248,1331
1248,1331
1248,1331
1248,1045
1248,1332
1251,1045
1251,1250
1251,1051
1252,1212
1252,1219
1253,1970
1253,1045
1253,1331
1253,1212
1253,1213
1254,640
1257,1849
1257,1212
1257,1212
1261,1045
1261,1045
1261,220
1262,1583
1262,1583
1262,1583
1262,1583
1262,1583
1269,640
1269,640
1275,1045
1275,1670
1275,224
1277,1331
1277,1331
1277,677
1277,413
1277,640
1277,640
1278,462
1278,462
1278,220
1284,1222
1284,1045
1284,220
1284,220
1284,220
1287,2271
1287,2271
1288,1331
1289,1250
1289,1032
1289,462
1289,464
1289,711
1289,711
1290,1331
1290,1237
1290,1331
1290,1237
1290,1045
1291,1331
1291,1032
1291,1032
1292,1250
1292,1045
1292,252
1292,223
1293,1331
1296,1331
1296,1412
1297,1139
1297,1044
1298,1032
1298,1319
1298,225
1298,225
1300,1331
1300,1331
1304,1032
1304,1043
1307,1331
1307,1331
1307,1250
1308,677
1308,677
1308,663
1308,663
1309,959
1309,679
1309,1044
1310,1045
1310,1213
1313,1331
1314,1032
1314,1032
1315,1032
1315,1032
1316,1250
1318,1331
1318,1331
1318,1045
1318,1332
1320,1332
1320,1332
1320,1332
1321,1331
1321,1331
1321,1032
1321,1032
1321,2127
1321,1032
1321,1045
1322,1460
1323,1032
1324,1250
1324,220
1324,232
1324,220
1325,1032
1325,1112
1325,1112
1326,1331
1326,1331
1327,1332
1327,1332
1329,252
1332,252
1333,1032
1333,1970
1333,1970
1333,1043
1333,252
1333,252
1334,1045
1334,1045
1335,1970
1339,1331
1339,1032
1339,1032
1339,1583
1339,1553
1339,679
1346,462
1346,1051
1346,850
1347,1331
1347,1970
1347,2030
1347,1970
1347,224
1348,1045
1348,1045
1349,1331
1350,1044
1350,2410
1350,2410
1351,1331
1351,1313
1355,1032
1355,1332
1356,1250
1356,873
1357,251
1358,220
1359,1045
1359,460
1360,1310
1363,1032
1363,1043
1364,1043
1366,1032
1366,1581
1367,959
1367,959
1367,1521
1367,1045
1371,1045
1371,1331
1371,1045
1371,1331
1371,231
1372,141
1372,2271
1373,1132
1374,1450
1374,2271
1375,855
1375,855
1378,465
1384,1331
1384,1331
1384,242
1384,1331
1387,1264
1387,1119
1388,1331
1388,1331
1388,1032
1389,462
1390,1264
1390,1119
1391,2410
1391,2410
1391,2410
1391,2410
1392,232
1392,252
1392,228
1392,252
1392,252
1393,453
1393,453
1395,460
1396,1045
1396,241
1396,241
1396,674
1399,1045
1399,1032
