BYSID,J007C
1001,1583
1004,0450
1007,1332
1008,1032
1010,0228
1012,0464
1014,1045
1015,1032
1017,2271
1019,1044
1020,1332
1021,0220
1022,0677
1023,1970
1025,1032
1026,0232
1029,1331
1032,1114
1034,0241
1035,1032
1039,1045
1040,1331
1041,0651
1044,1331
1046,0252
1047,1119
1048,1250
1056,1331
1058,2028
1059,1032
1060,1332
1061,1331
1068,0462
1071,1970
1075,1045
1076,0959
1077,0651
1078,0952
1080,0677
1081,1331
1084,1264
1085,0952
1087,0252
1088,0677
1091,1219
1093,1331
1095,1970
1096,2272
1104,1045
1105,1490
1106,1331
1107,1032
1109,1045
1110,1044
1113,0232
1114,2410
1116,1045
1117,1032
1118,1045
1119,1332
1120,0640
1121,1970
1122,0232
1123,1331
1124,1970
1128,1331
1129,1045
1130,1331
1131,1045
1132,1032
1137,1331
1138,1331
1142,0252
1145,1045
1146,0460
1147,0952
1148,0241
1150,1331
1151,0252
1153,1331
1155,0224
1156,1332
1158,1331
1159,1045
1160,0241
1165,1032
1166,0241
1167,1032
1168,1032
1169,1032
1170,1250
1171,0462
1172,1331
1173,1332
1176,1045
1181,0640
1182,1032
1183,0232
1184,1331
1185,1970
1186,1581
1191,1045
1192,1320
1193,1219
1197,1670
1199,0952
1201,1032
1205,0242
1206,1045
1207,0959
1209,1521
1210,1033
1213,1970
1216,0252
1218,0911
1220,1331
1222,0679
1225,1045
1226,1330
1227,1331
1229,1970
1232,1332
1233,1032
1234,1043
1236,1032
1238,2028
1242,1121
1243,1250
1247,0252
1248,1045
1251,1045
1252,1212
1253,1970
1254,0640
1257,1849
1261,1045
1262,1583
1269,0640
1275,1045
1277,1331
1278,0462
1284,1222
1287,2271
1288,1331
1289,1250
1290,1331
1291,1331
1292,1250
1293,1331
1296,1331
1297,1139
1298,1032
1300,1331
1304,1032
1307,1331
1308,0677
1309,0959
1310,1045
1313,1331
1314,1032
1315,1032
1316,1250
1318,1331
1320,1332
1321,1331
1322,1460
1323,1032
1324,1250
1325,1032
1326,1331
1327,1332
1329,0252
1332,0252
1333,1032
1334,1045
1335,1970
1339,1331
1346,0462
1347,1331
1348,1045
1349,1331
1350,1044
1351,1331
1355,1032
1356,1250
1357,0251
1358,0220
1359,1045
1360,1310
1363,1032
1364,1043
1366,1032
1367,0959
1371,1045
1372,0141
1373,1132
1374,1450
1375,0855
1378,0465
1384,1331
1387,1264
1388,1331
1389,0462
1390,1264
1391,2410
1392,0232
1393,0453
1395,0460
1396,1045
1399,1045
1407,1331
1410,0252
1412,2325
1413,1045
1414,2125
1415,1213
1416,1331
1417,0854
1418,1034
1420,1034
1422,1032
1423,1319
1425,1045
1426,1970
1429,1332
1430,0874
1433,1331
1434,0241
1435,0854
1442,1032
1448,1331
1449,1213
1450,1331
1455,1727
1456,1319
1459,1921
1460,1331
1461,1581
1467,1044
1469,1045
1470,1331
1471,2253
1472,1121
1478,1540
1479,1045
1480,1033
1481,1331
1482,1232
1487,0252
1490,1132
1492,2272
1493,1045
1496,0231
1498,1250
1500,1044
1501,0252
1503,1331
1504,0460
1505,1331
1507,1045
1511,1032
1515,1331
1517,1250
1519,1264
1521,1331
1522,0453
1523,1411
1525,1132
1527,1722
1528,1032
1529,1032
1532,1333
