BYSID,GENDER,father_job,BYS22001,BYS22002,BYS23002,BYS04008,BYS04009,selfConcept_cate,lifeSelfConfidence_cate,emotionalStability_cate,schFacilSatisfi_cate,careerSelfEfficacy_cate,liberalArts_cate,naturalSciences_cate,teacherRel_cate,AT_05,J007C
5002,2,3,1,3,2,1,2,2,2,2,4,2,3,2,1,1,1
5005,1,3,1,7,8,1,4,3,3,2,3,4,2,3,1,2,4
5009,2,4,1,6,1,2,1,4,4,2,2,3,3,2,1,1,2
5010,2,4,2,1,1,1,5,3,2,1,2,3,3,2,1,1,1
5014,2,2,2,6,1,1,3,3,2,1,2,3,3,2,1,1,1
5015,1,1,1,9,1,1,4,4,4,2,2,4,3,3,2,0,3
5018,1,4,2,5,1,1,3,2,2,2,3,2,2,3,2,1,3
5020,2,4,8,2,3,1,2,2,2,2,3,2,2,2,1,2,4
5025,1,4,1,2,1,6,1,3,3,1,2,3,3,2,1,2,2
5026,1,4,2,3,1,4,3,2,2,1,2,3,2,3,1,2,4
5028,2,4,6,7,1,2,1,3,4,2,3,4,3,1,1,1,1
5031,2,3,8,1,1,1,5,2,2,1,2,3,2,3,1,0,1
5032,2,4,8,7,1,1,5,3,3,1,3,2,3,3,1,2,1
5033,1,3,2,3,8,1,4,3,4,1,3,3,2,2,1,0,3
5034,1,1,1,8,3,3,4,3,3,1,3,3,3,2,1,1,1
5035,1,1,1,3,1,4,1,3,3,2,3,4,2,3,1,2,3
5036,1,4,1,3,1,3,4,3,3,2,4,3,2,3,1,2,4
5037,1,4,1,8,3,1,3,2,2,2,2,3,3,2,1,1,3
5041,1,0,2,1,1,4,1,3,3,3,3,4,3,4,1,1,2
5046,2,0,2,6,1,1,5,4,5,1,4,4,3,3,1,2,1
5047,1,5,1,2,1,4,1,2,2,2,1,2,2,1,1,1,1
5052,2,4,6,3,4,1,4,3,3,1,2,3,3,2,1,1,1
5054,2,2,8,10,3,3,1,2,2,1,4,2,2,2,1,1,3
5055,1,5,1,2,1,4,3,3,3,1,4,4,2,3,1,2,4
5056,1,0,1,2,1,4,5,3,3,1,3,3,1,2,1,0,3
5058,2,1,9,2,6,1,3,4,3,1,1,4,3,3,1,1,1
5059,2,0,2,7,1,2,1,3,3,2,3,3,3,3,1,0,3
5060,1,1,1,2,1,4,3,3,2,2,3,3,3,2,1,2,4
5064,2,1,2,3,1,3,1,2,2,2,3,2,3,2,1,1,1
5065,1,5,3,9,3,1,4,2,1,1,3,3,1,3,1,2,2
5068,1,1,9,2,1,6,3,4,4,1,3,3,4,1,1,1,1
5069,1,1,3,2,2,3,1,3,3,2,2,3,3,1,1,1,1
5070,2,1,6,2,4,4,1,2,1,1,3,3,3,1,1,1,1
5071,1,3,3,1,2,1,4,3,3,2,1,3,2,1,1,1,3
5072,2,2,8,1,1,9,1,3,3,1,3,3,3,2,2,1,1
5073,1,5,3,1,3,3,4,3,2,2,2,2,3,1,1,1,4
5074,2,1,2,1,1,1,9,3,4,1,2,3,3,2,1,1,1
5075,2,1,3,2,3,4,1,3,3,1,2,2,2,2,1,1,1
5078,2,4,2,1,3,4,1,3,4,1,2,3,3,3,1,1,2
5080,1,4,2,8,1,4,6,2,3,1,2,3,2,1,1,0,3
5081,1,1,6,2,1,3,4,3,3,1,3,4,2,3,1,0,4
5083,2,4,1,3,2,6,1,3,3,2,4,3,2,3,1,2,1
5088,1,1,1,9,1,4,1,2,2,2,2,2,3,2,1,1,3
5092,2,2,2,9,1,5,2,3,2,1,3,3,2,1,1,1,3
5094,1,4,1,8,1,4,3,2,2,2,3,2,3,2,1,1,4
5097,1,1,2,3,3,4,1,3,2,1,2,2,2,2,1,1,4
5105,1,5,1,3,6,4,5,3,3,1,2,3,3,3,1,1,4
5106,1,1,2,1,1,5,1,3,3,2,3,3,3,3,1,2,4
5108,1,0,1,2,1,4,1,2,2,2,3,3,2,3,1,2,2
5109,1,4,1,7,1,1,5,2,1,2,1,3,2,3,1,2,4
5120,2,4,2,3,1,1,7,3,3,2,2,4,2,2,1,1,1
5121,1,4,8,6,1,1,4,3,3,1,3,2,3,2,1,1,2
5122,1,1,1,2,1,4,1,3,3,2,2,2,1,4,1,2,1
5126,2,4,8,2,3,3,4,3,3,1,2,3,3,1,1,1,1
5127,1,4,3,1,2,2,4,2,3,2,3,3,2,2,1,2,4
5129,1,2,1,9,1,1,4,3,3,2,2,3,1,3,1,2,1
5130,2,3,2,7,3,3,1,2,2,2,3,2,2,2,1,2,3
5131,2,1,2,6,1,3,6,3,3,1,3,2,2,1,1,1,1
5144,2,5,6,1,1,1,4,4,3,1,3,3,3,2,1,1,2
5146,2,3,2,7,1,8,2,2,2,3,3,2,3,3,2,2,1
5148,1,1,3,1,2,9,1,3,3,1,2,3,2,1,1,1,1
5151,2,3,1,3,2,1,3,3,3,2,3,2,3,1,1,1,1
5153,2,4,6,2,1,6,9,2,3,1,3,3,2,1,1,1,2
5154,1,4,1,2,1,4,6,3,2,1,3,3,3,1,1,1,1
5157,2,1,2,10,1,1,3,3,2,1,2,3,2,3,1,2,1
5158,2,1,2,1,1,1,5,3,2,1,2,2,4,1,1,1,1
5160,1,0,3,10,2,1,4,3,3,2,4,3,3,3,1,1,4
5161,2,3,8,2,7,1,2,3,2,1,3,3,3,3,1,2,2
5164,1,4,3,1,2,4,5,3,3,1,2,3,3,2,1,2,1
5174,1,3,3,1,2,4,5,4,4,1,2,2,1,3,1,2,4
5177,1,4,1,3,2,6,1,4,4,2,3,4,3,3,1,1,2
5178,1,4,1,2,1,3,4,3,3,2,3,4,2,3,1,2,4
5181,2,4,1,3,2,3,1,2,2,1,3,3,2,2,1,1,1
5183,2,4,2,1,1,3,1,3,2,1,3,3,3,2,1,1,3
5189,1,5,3,5,1,8,1,4,5,2,2,4,3,3,1,0,1
5190,2,5,2,1,1,5,1,3,3,1,3,3,2,2,1,1,1
5195,1,4,8,10,1,4,6,3,2,2,3,3,2,4,1,0,1
5196,1,0,2,1,1,4,5,3,4,2,3,4,1,2,1,0,4
5198,1,4,1,10,9,1,3,3,3,1,2,3,3,3,1,1,2
5199,1,4,1,2,1,7,1,2,3,1,2,3,2,2,1,2,3
5200,1,3,8,9,3,3,1,3,3,1,3,3,1,2,1,2,3
5203,2,1,6,2,1,1,4,3,3,1,2,2,3,4,1,2,1
5204,1,4,1,8,7,1,4,3,3,2,1,4,2,3,1,2,2
5206,1,0,1,8,3,1,2,3,3,1,3,1,3,1,1,1,3
5211,1,4,1,10,1,1,4,3,3,2,3,3,3,3,1,0,3
5213,1,5,3,6,2,6,1,3,3,2,3,3,2,2,1,1,3
5215,1,1,1,3,3,4,3,2,2,1,3,2,3,1,1,1,4
5219,1,0,1,8,1,6,3,3,4,2,3,4,2,1,1,1,4
5220,1,4,1,2,1,4,3,3,3,1,2,4,1,4,1,2,4
5223,1,1,1,3,1,4,9,3,4,1,3,3,3,1,1,1,3
5225,1,0,2,1,1,3,4,2,2,1,2,2,2,4,1,2,4
5226,2,1,2,1,1,6,1,3,3,2,3,3,2,4,1,2,1
5233,2,4,2,6,1,1,4,4,5,1,4,5,3,4,1,2,1
5236,2,4,2,3,1,2,1,2,1,2,3,2,2,3,2,2,3
5237,1,5,6,2,1,5,1,1,1,2,2,1,3,1,1,1,1
5244,2,0,1,3,1,6,3,3,1,2,4,2,2,4,1,2,4
5245,2,1,1,2,3,3,1,3,3,2,3,2,3,3,1,1,3
5246,1,0,1,3,1,9,4,3,4,2,2,3,3,1,1,0,1
5251,2,1,2,6,4,3,1,3,4,2,3,3,4,2,1,1,1
5252,2,4,2,9,1,1,3,3,2,1,3,3,2,2,1,2,1
5255,2,5,2,1,1,3,9,3,3,1,3,3,2,3,1,2,1
5258,2,4,2,1,1,3,1,2,1,2,3,2,3,1,2,1,1
5259,1,2,1,3,3,1,6,3,3,1,3,4,4,4,1,1,1
5260,1,0,1,8,3,4,6,3,2,2,2,2,1,3,1,0,1
5261,1,4,1,2,1,4,5,2,2,2,2,3,3,2,2,2,1
5263,1,4,1,9,1,4,1,3,3,1,3,4,2,3,1,2,4
5268,1,0,1,9,6,1,6,4,4,2,2,4,3,3,1,1,1
5269,1,1,5,1,5,6,4,3,2,1,3,4,3,3,1,2,2
5270,1,5,8,1,1,1,4,3,2,1,4,3,3,2,1,0,1
5275,2,2,3,6,2,9,4,3,3,2,3,3,2,1,1,1,2
5276,2,5,1,6,1,1,4,3,1,2,2,3,3,2,1,1,2
5277,2,3,2,3,1,1,3,3,3,1,3,3,3,2,1,1,2
5278,2,4,6,3,1,1,6,3,4,2,2,4,3,1,1,1,1
5279,2,1,2,3,4,1,3,3,4,1,3,4,3,2,1,2,1
5283,1,3,2,9,1,4,8,3,3,2,3,3,2,1,1,1,3
5284,1,0,2,1,1,9,3,2,2,2,2,5,2,1,2,1,3
5285,1,1,9,3,2,5,4,3,3,1,2,3,2,1,1,1,2
5286,2,4,3,1,3,4,5,2,2,1,2,2,3,1,1,1,1
5288,2,2,2,8,1,1,5,3,4,1,3,2,3,2,1,1,1
5289,1,5,2,6,1,1,3,2,3,2,3,3,3,2,1,0,2
5291,2,0,1,2,3,3,5,3,3,1,3,3,3,1,1,1,1
5293,1,1,1,5,1,1,4,3,3,2,3,3,3,3,1,2,1
5296,1,4,1,8,1,3,6,3,3,2,2,3,3,3,1,1,1
5298,1,1,1,8,1,4,6,2,2,1,2,3,2,2,1,0,1
5302,1,4,2,1,1,1,4,3,4,1,3,3,3,2,1,1,1
5303,1,0,1,7,1,4,5,2,3,1,3,3,1,2,1,0,3
5305,2,4,2,1,1,9,6,3,3,2,3,5,3,1,1,0,1
5307,2,1,1,8,1,4,3,2,2,1,3,2,3,2,1,2,1
5308,1,4,3,8,2,5,4,3,3,2,2,2,2,2,2,2,1
5313,1,1,1,3,1,4,9,3,3,2,3,3,3,2,1,2,2
5316,2,4,3,2,2,9,6,2,3,2,2,3,1,3,1,2,2
5317,1,5,8,1,2,4,5,3,3,1,3,2,3,1,1,1,4
5318,2,1,2,3,1,1,2,3,3,2,3,3,4,3,1,1,1
5322,1,5,2,1,3,3,4,2,2,2,3,3,3,1,1,1,1
5323,1,1,1,3,1,4,1,3,3,1,3,3,3,2,1,1,1
5324,1,4,2,1,1,1,5,3,2,1,3,3,3,2,1,1,2
5326,1,4,8,1,3,1,3,3,2,1,2,2,1,2,1,2,3
5329,1,4,1,3,1,3,4,4,4,2,2,2,2,4,1,0,4
5330,2,4,6,10,4,3,5,3,3,1,3,3,2,1,1,1,1
