BYSID,father_job,col_major,BYS22001,BYS22002,BYS23002,BYS04008,BYS04009,selfConcept_cate,lifeSelfConfidence_cate,emotionalStability_cate,schFacilSatisfi_cate,careerSelfEfficacy_cate,liberalArts_cate,naturalSciences_cate,AT_05,GENDER,teacherRel_cate,J007C
5002,3,5,1,3,2,1,2,2,2,2,4,2,3,2,1,2,1,6
5005,3,4,1,7,8,1,4,3,3,2,3,4,2,3,2,1,1,8
5009,4,7,1,6,1,2,1,4,4,2,2,3,3,2,1,2,1,5
5010,4,3,2,1,1,1,5,3,2,1,2,3,3,2,1,2,1,2
5014,2,0,2,6,1,1,3,3,2,1,2,3,3,2,1,2,1,2
5015,1,2,1,9,1,1,4,4,4,2,2,4,3,3,0,1,2,6
5018,4,2,2,5,1,1,3,2,2,2,3,2,2,3,1,1,2,6
5020,4,5,8,2,3,1,2,2,2,2,3,2,2,2,2,2,1,8
5025,4,4,1,2,1,6,1,3,3,1,2,3,3,2,2,1,1,5
5026,4,5,2,3,1,4,3,2,2,1,2,3,2,3,2,1,1,8
5028,4,2,6,7,1,2,1,3,4,2,3,4,3,1,1,2,1,2
5031,3,2,8,1,1,1,5,2,2,1,2,3,2,3,0,2,1,1
5032,4,6,8,7,1,1,5,3,3,1,3,2,3,3,2,2,1,6
5033,3,7,2,3,8,1,4,3,4,1,3,3,2,2,0,1,1,6
5034,1,0,1,8,3,3,4,3,3,1,3,3,3,2,1,1,1,1
5035,1,5,1,3,1,4,1,3,3,2,3,4,2,3,2,1,1,6
5036,4,2,1,3,1,3,4,3,3,2,4,3,2,3,2,1,1,8
5037,4,2,1,8,3,1,3,2,2,2,2,3,3,2,1,1,1,6
5041,0,0,2,1,1,4,1,3,3,3,3,4,3,4,1,1,1,5
5046,0,5,2,6,1,1,5,4,5,1,4,4,3,3,2,2,1,2
5047,5,7,1,2,1,4,1,2,2,2,1,2,2,1,1,1,1,5
5052,4,2,6,3,4,1,4,3,3,1,2,3,3,2,1,2,1,6
5054,2,0,8,10,3,3,1,2,2,1,4,2,2,2,1,2,1,2
5055,5,4,1,2,1,4,3,3,3,1,4,4,2,3,2,1,1,5
5056,0,0,1,2,1,4,5,3,3,1,3,3,1,2,0,1,1,8
5058,1,0,9,2,6,1,3,4,3,1,1,4,3,3,1,2,1,2
5059,0,7,2,7,1,2,1,3,3,2,3,3,3,3,0,2,1,5
5060,1,0,1,2,1,4,3,3,2,2,3,3,3,2,2,1,1,5
5064,1,2,2,3,1,3,1,2,2,2,3,2,3,2,1,2,1,6
5065,5,5,3,9,3,1,4,2,1,1,3,3,1,3,2,1,1,1
5068,1,3,9,2,1,6,3,4,4,1,3,3,4,1,1,1,1,2
5069,1,2,3,2,2,3,1,3,3,2,2,3,3,1,1,1,1,6
5070,1,0,6,2,4,4,1,2,1,1,3,3,3,1,1,2,1,1
5071,3,0,3,1,2,1,4,3,3,2,1,3,2,1,1,1,1,5
5072,2,0,8,1,1,9,1,3,3,1,3,3,3,2,1,2,2,6
5073,5,2,3,1,3,3,4,3,2,2,2,2,3,1,1,1,1,8
5074,1,5,2,1,1,1,9,3,4,1,2,3,3,2,1,2,1,1
5075,1,2,3,2,3,4,1,3,3,1,2,2,2,2,1,2,1,6
5078,4,0,2,1,3,4,1,3,4,1,2,3,3,3,1,2,1,5
5080,4,0,2,8,1,4,6,2,3,1,2,3,2,1,0,1,1,8
5081,1,4,6,2,1,3,4,3,3,1,3,4,2,3,0,1,1,8
5083,4,5,1,3,2,6,1,3,3,2,4,3,2,3,2,2,1,6
5088,1,2,1,9,1,4,1,2,2,2,2,2,3,2,1,1,1,6
5092,2,5,2,9,1,5,2,3,2,1,3,3,2,1,1,2,1,5
5094,4,2,1,8,1,4,3,2,2,2,3,2,3,2,1,1,1,6
5097,1,2,2,3,3,4,1,3,2,1,2,2,2,2,1,1,1,6
5105,5,4,1,3,6,4,5,3,3,1,2,3,3,3,1,1,1,8
5106,1,4,2,1,1,5,1,3,3,2,3,3,3,3,2,1,1,2
5108,0,4,1,2,1,4,1,2,2,2,3,3,2,3,2,1,1,6
5109,4,4,1,7,1,1,5,2,1,2,1,3,2,3,2,1,1,8
5120,4,7,2,3,1,1,7,3,3,2,2,4,2,2,1,2,1,1
5121,4,2,8,6,1,1,4,3,3,1,3,2,3,2,1,1,1,5
5122,1,4,1,2,1,4,1,3,3,2,2,2,1,4,2,1,1,5
5126,4,2,8,2,3,3,4,3,3,1,2,3,3,1,1,2,1,1
5127,4,2,3,1,2,2,4,2,3,2,3,3,2,2,2,1,1,8
5129,2,4,1,9,1,1,4,3,3,2,2,3,1,3,2,1,1,2
5130,3,2,2,7,3,3,1,2,2,2,3,2,2,2,2,2,1,8
5131,1,2,2,6,1,3,6,3,3,1,3,2,2,1,1,2,1,1
5144,5,2,6,1,1,1,4,4,3,1,3,3,3,2,1,2,1,2
5146,3,2,2,7,1,8,2,2,2,3,3,2,3,3,2,2,2,5
5148,1,7,3,1,2,9,1,3,3,1,2,3,2,1,1,1,1,2
5151,3,2,1,3,2,1,3,3,3,2,3,2,3,1,1,2,1,5
5153,4,7,6,2,1,6,9,2,3,1,3,3,2,1,1,2,1,5
5154,4,1,1,2,1,4,6,3,2,1,3,3,3,1,1,1,1,1
5157,1,0,2,10,1,1,3,3,2,1,2,3,2,3,2,2,1,1
5158,1,1,2,1,1,1,5,3,2,1,2,2,4,1,1,2,1,2
5160,0,0,3,10,2,1,4,3,3,2,4,3,3,3,1,1,1,1
5161,3,5,8,2,7,1,2,3,2,1,3,3,3,3,2,2,1,5
5164,4,4,3,1,2,4,5,3,3,1,2,3,3,2,2,1,1,1
5174,3,0,3,1,2,4,5,4,4,1,2,2,1,3,2,1,1,1
5177,4,4,1,3,2,6,1,4,4,2,3,4,3,3,1,1,1,5
5178,4,4,1,2,1,3,4,3,3,2,3,4,2,3,2,1,1,5
5181,4,0,1,3,2,3,1,2,2,1,3,3,2,2,1,2,1,6
5183,4,0,2,1,1,3,1,3,2,1,3,3,3,2,1,2,1,6
5189,5,7,3,5,1,8,1,4,5,2,2,4,3,3,0,1,1,1
5190,5,2,2,1,1,5,1,3,3,1,3,3,2,2,1,2,1,1
5195,4,4,8,10,1,4,6,3,2,2,3,3,2,4,0,1,1,8
5196,0,0,2,1,1,4,5,3,4,2,3,4,1,2,0,1,1,8
5198,4,0,1,10,9,1,3,3,3,1,2,3,3,3,1,1,1,5
5199,4,4,1,2,1,7,1,2,3,1,2,3,2,2,2,1,1,5
5200,3,4,8,9,3,3,1,3,3,1,3,3,1,2,2,1,1,6
5203,1,0,6,2,1,1,4,3,3,1,2,2,3,4,2,2,1,2
5204,4,0,1,8,7,1,4,3,3,2,1,4,2,3,2,1,1,2
5206,0,0,1,8,3,1,2,3,3,1,3,1,3,1,1,1,1,6
5211,4,4,1,10,1,1,4,3,3,2,3,3,3,3,0,1,1,8
5213,5,7,3,6,2,6,1,3,3,2,3,3,2,2,1,1,1,5
5215,1,1,1,3,3,4,3,2,2,1,3,2,3,1,1,1,1,5
5219,0,0,1,8,1,6,3,3,4,2,3,4,2,1,1,1,1,5
5220,4,0,1,2,1,4,3,3,3,1,2,4,1,4,2,1,1,5
5223,1,0,1,3,1,4,9,3,4,1,3,3,3,1,1,1,1,6
5225,0,4,2,1,1,3,4,2,2,1,2,2,2,4,2,1,1,8
5226,1,5,2,1,1,6,1,3,3,2,3,3,2,4,2,2,1,6
5233,4,4,2,6,1,1,4,4,5,1,4,5,3,4,2,2,1,1
5236,4,0,2,3,1,2,1,2,1,2,3,2,2,3,2,2,2,5
5237,5,1,6,2,1,5,1,1,1,2,2,1,3,1,1,1,1,5
5244,0,4,1,3,1,6,3,3,1,2,4,2,2,4,2,2,1,5
5245,1,0,1,2,3,3,1,3,3,2,3,2,3,3,1,2,1,2
5246,0,0,1,3,1,9,4,3,4,2,2,3,3,1,0,1,1,6
5251,1,1,2,6,4,3,1,3,4,2,3,3,4,2,1,2,1,2
5252,4,2,2,9,1,1,3,3,2,1,3,3,2,2,2,2,1,1
5255,5,2,2,1,1,3,9,3,3,1,3,3,2,3,2,2,1,1
5258,4,2,2,1,1,3,1,2,1,2,3,2,3,1,1,2,2,1
5259,2,2,1,3,3,1,6,3,3,1,3,4,4,4,1,1,1,2
5260,0,4,1,8,3,4,6,3,2,2,2,2,1,3,0,1,1,1
5261,4,0,1,2,1,4,5,2,2,2,2,3,3,2,2,1,2,1
5263,4,5,1,9,1,4,1,3,3,1,3,4,2,3,2,1,1,6
5268,0,2,1,9,6,1,6,4,4,2,2,4,3,3,1,1,1,1
5269,1,4,5,1,5,6,4,3,2,1,3,4,3,3,2,1,1,5
5270,5,4,8,1,1,1,4,3,2,1,4,3,3,2,0,1,1,8
5275,2,0,3,6,2,9,4,3,3,2,3,3,2,1,1,2,1,5
5276,5,0,1,6,1,1,4,3,1,2,2,3,3,2,1,2,1,5
5277,3,2,2,3,1,1,3,3,3,1,3,3,3,2,1,2,1,6
5278,4,7,6,3,1,1,6,3,4,2,2,4,3,1,1,2,1,1
5279,1,5,2,3,4,1,3,3,4,1,3,4,3,2,2,2,1,5
5283,3,0,2,9,1,4,8,3,3,2,3,3,2,1,1,1,1,6
5284,0,5,2,1,1,9,3,2,2,2,2,5,2,1,1,1,2,5
5285,1,7,9,3,2,5,4,3,3,1,2,3,2,1,1,1,1,5
5286,4,2,3,1,3,4,5,2,2,1,2,2,3,1,1,2,1,1
5288,2,1,2,8,1,1,5,3,4,1,3,2,3,2,1,2,1,1
5289,5,2,2,6,1,1,3,2,3,2,3,3,3,2,0,1,1,5
5291,0,0,1,2,3,3,5,3,3,1,3,3,3,1,1,2,1,5
5293,1,0,1,5,1,1,4,3,3,2,3,3,3,3,2,1,1,1
5296,4,4,1,8,1,3,6,3,3,2,2,3,3,3,1,1,1,8
5298,1,2,1,8,1,4,6,2,2,1,2,3,2,2,0,1,1,1
5302,4,2,2,1,1,1,4,3,4,1,3,3,3,2,1,1,1,1
5303,0,0,1,7,1,4,5,2,3,1,3,3,1,2,0,1,1,5
5305,4,7,2,1,1,9,6,3,3,2,3,5,3,1,0,2,1,6
5307,1,4,1,8,1,4,3,2,2,1,3,2,3,2,2,2,1,1
5308,4,4,3,8,2,5,4,3,3,2,2,2,2,2,2,1,2,6
5313,1,4,1,3,1,4,9,3,3,2,3,3,3,2,2,1,1,6
5316,4,7,3,2,2,9,6,2,3,2,2,3,1,3,2,2,1,5
5317,5,4,8,1,2,4,5,3,3,1,3,2,3,1,1,1,1,8
5318,1,2,2,3,1,1,2,3,3,2,3,3,4,3,1,2,1,6
5322,5,4,2,1,3,3,4,2,2,2,3,3,3,1,1,1,1,2
5323,1,1,1,3,1,4,1,3,3,1,3,3,3,2,1,1,1,1
