BYHID,BYSID,BYSCLASS,F1H01001,F1H01002,F1H01003,F1H01004,F1H01005,F1H01006,F1H01007,F1H01008,F1H02001,F1H02002,F1H02003,F1H02004,F1H02005C,F1H02006,F1H03001,F1H03002,F1H03003,F1H03004,F1H03005C,F1H03006,F1H04001,F1H04002,F1H04003,F1H04004,F1H04005,F1H05001,F1H05002,F1H05003,F1H06001,F1H06002,F1H06003
30011,3001,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,90,2323,1,2002,2,-5,-5,-5,2,90,0,5000,1,5500,90,0,0,1,1,4
30021,3002,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,3,250,0154,2,2002,1,5,-5,0154,2,250,0,20000,1,4000,250,50,0,1,2,4
30031,3003,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,3,350,0141,2,2002,2,-5,-5,-5,2,350,100,25000,2,-5,110,30,-4,1,1,2
30041,3004,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,120,0220,2,2002,1,2,70,1330,2,190,0,-3,1,-3,190,60,30,1,3,1
30051,3005,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,2,100,1540,2,2002,2,-5,-5,-5,2,100,0,1700,1,2000,100,0,0,1,2,2
30061,3006,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,4,130,1211,2,2002,2,-5,-5,-5,2,130,0,-2,1,2500,-2,-4,-4,1,1,3
30071,3007,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,3,150,0142,2,2002,1,2,150,0332,1,300,80,-3,-3,-5,200,30,30,1,1,1
30081,3008,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,2,-5,-5,-5,2,70,10,-6,2,-5,60,0,0,2,3,4
30091,3009,2,2001,2,-5,-5,-5,-5,-5,-5,2001,2,-5,-5,-5,2,2002,1,2,60,-3,2,150,0,1500,2,-5,150,0,0,1,2,4
30101,3010,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,2,80,1330,2,80,0,0,2,-5,80,0,0,2,3,4
30111,3011,2,1002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,1002,2,-5,-5,-5,2,60,0,300,2,-5,60,0,0,2,3,1
30121,3012,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,100,1014,1,2002,1,2,100,1332,2,200,0,0,1,-3,100,0,0,1,1,3
30131,3013,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,2,150,1650,2,2002,2,-5,-5,-5,2,150,10,3000,2,-5,140,0,0,2,1,2
30141,3014,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,2,50,0739,2,50,2,500,2,-5,50,-4,-4,1,3,3
30151,3015,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,2,70,1490,2,2002,2,-5,-5,-5,2,70,0,2000,1,1000,70,0,0,1,1,2
30161,3016,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,80,2321,2,2002,1,5,-5,2321,2,80,0,1000,1,-2,80,0,0,2,1,4
30171,3017,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,200,2327,-2,2002,2,-5,-5,-5,2,200,20,10000,2,-5,180,0,0,1,1,4
30181,3018,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,130,2333,2,2002,2,-5,-5,-5,2,130,0,-2,1,3000,-2,-4,-4,1,1,2
30191,3019,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,3,200,0129,2,2002,2,-5,-5,-5,2,200,30,2500,1,4000,200,0,0,1,2,4
30201,3020,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,4,80,2321,2,2002,2,-5,-5,-5,2,80,11,2000,1,1300,69,-4,-4,1,1,4
30211,3021,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,200,1031,2,2002,1,5,-5,1031,2,200,50,-2,2,-5,150,0,0,1,2,2
30221,3022,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,2,-2,1490,2,2002,2,-5,-5,-5,2,-2,0,0,2,-5,-2,-4,-4,1,3,2
30231,3023,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,4,-2,1330,2,-2,0,-3,1,1500,50,-4,-4,1,1,2
30241,3024,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,250,0129,-2,2002,2,-5,-5,-5,2,250,0,2000,1,5000,150,0,0,1,2,3
30251,3025,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,1,200,1672,2,2002,2,-5,-5,-5,2,200,0,3000,2,-5,200,0,0,2,2,2
30261,3026,2,2002,2,-5,-5,-5,-5,-5,-5,2001,2,-5,-5,-5,2,2002,1,3,200,0156,1,200,100,10000,1,400,100,0,0,1,1,2
