BYAID,BYA01001,BYA01002,BYA01003,BYA02001,BYA02002C1,BYA02002C2,BYA02002C3,BYA02002C4,BYA02002C5,BYA02003,BYA02004,BYA02005,BYA02006,BYA03001,BYA03002,BYA03003,BYA03004,BYA03005C,BYA03006,BYA03007,BYA03008,BYA04001,BYA04002,BYA04004,BYA04005C,BYA04006,BYA05001,BYA05002,BYA05003,BYA05004,BYA05005,BYA05006,BYA05007,BYA05008,BYA05009,BYA05010,BYA05011,BYA05012,BYA06001,BYA06002,BYA06003,BYA06004,BYA06007,BYA06008,BYA06009,BYA06010,BYA06011,BYA06012,BYA06013,BYA06014,BYA06015,BYA07001,BYA07002,BYA08001,BYA08002,BYA08004,BYA08005,BYA08006,BYA08007,BYA08008,BYA08009,BYA08010,BYA08011,BYA08012,BYA08013,BYA08014,BYA08015,BYA08016,BYA08017,BYA08018,BYA08019,BYA08020,BYA08021,BYA08022,BYA08023,BYA08024,BYA08025,BYA08026,BYA08027,BYA08028,BYA08029,BYA08030,BYA08031,BYA08032,BYA08033,BYA08034,BYA08035,BYA09001,BYA09002,BYA09003,BYA09004,BYA09005,BYA09006,BYA09007,BYA09008,BYA09009,BYA09010,BYA09011,BYA09012,BYA09013,BYA09014,BYA09015,BYA09016,BYA09017,BYA09018,BYA09019,BYA09020,BYA09021,BYA09022,BYA09023,BYA09024,BYA09025,BYA09026,BYA09027,BYA09028,BYA10001,BYA10002,BYA10003,BYA10004,BYA10005,BYA10006,BYA10007,BYA10008,BYA10009,BYA10010,BYA10011,BYA10012,BYA10013,BYA10014,BYA10015,BYA10016,BYA10017,BYA10018,BYA10019,BYA10020,BYA10021,BYA10022,BYA10023,BYA10024,BYA10025,BYA10026,BYA10027,BYA10028,BYA10029,BYA10030,BYA10031,BYA10032,BYA10033,BYA10034,BYA10035,BYA10036,BYA10037,BYA10038,BYA10039,BYA10040,BYA10041,BYA10042,BYA10043,BYA10044,BYA10045,BYA10046
301,1,1,2,1,30,-4,-4,-4,-4,1,4,6,2,1,1,1,1,07,4,4,4,1,2,1,-3,3,2,2,5,5,4,4,4,3,3,3,4,3,12,5,424,85,0,25,-3,98,221/221,4,21,16,0,1,56,6,1,1,1,1,2,1,1908,1625,45,100,543,545,537,15,15,15,0,59,0,10,4,11,22,26,13,10,4,0,35,0,0,2,537,349808,104077,453885,469338,830459,1299796,44471,3226,47697,106,0,89610,0,0,29810,1920904,96217,187714,283931,72236,210209,281852,41005,137375,742677,820375,0,1846983,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
302,2,1,2,1,30,70,-4,-4,-4,1,3,5,1,1,1,2,1,-4,5,3,4,1,1,1,206,3,1,1,4,3,4,5,2,5,4,4,4,3,30,40,70,128,30,10,0,99.5,214/223,5,20,22,0,1,52,6,1,2,1,1,1,1,1971,1022,30,64,335,334,353,10,10,10,0,8,0,7,13,8,9,5,8,11,3,0,21,0,0,0,458,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4672,1130474,1223,1136369,84592,6249,44518,50237,185596,1927588,1401332,3328920,120364,0,120364,598,0,0,0,273425,592812,866237,3696,5641779,3285451,304681,0,5123,0,0,4410,0,0,1140550,0,0,69273,16887,101579,63409,4176,0,0,587708,843031,5583246
303,1,1,2,1,30,70,-4,-4,-4,1,3,10,2,1,1,1,2,03,4,3,5,1,1,1,610,4,3,3,3,3,4,5,2,5,5,5,4,4,35,42,63,58,0,3,4,99,215/220,5,17,38,0,1,42,6,1,1,1,1,3,1,1984,1292,38,83,438,448,406,13,13,12,0,37,3,7,5,15,23,19,8,2,1,0,33,0,0,0,489,244503,179887,424390,358695,631648,990342,34596,2283,36879,264,0,0,0,0,61169,1513045,72174,136660,208834,75550,244179,206067,30491,73805,630092,631648,0,1470574,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
304,1,1,2,1,70,30,-4,-4,-4,1,3,5,2,1,1,2,2,09,4,4,5,1,2,1,408,4,4,4,5,4,5,4,4,5,4,4,5,5,75,15,143,68,0,25,12,97,172/220,5,40,43,0,1,49,6,1,1,1,1,3,1,1986,1957,58,123,649,643,665,19,19,20,0,53,4,5,9,13,34,28,17,8,5,0,65,0,0,0,642,282966,266509,549475,547185,1291012,1838197,70953,33638,104591,0,0,0,0,0,97602,2589866,101866,151983,253849,55988,237488,368901,47321,243186,952884,1291012,0,2497744,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
305,1,1,2,2,-5,-5,-5,-5,-5,1,2,6,2,1,1,2,2,-4,4,3,4,3,1,1,408,3,3,3,4,3,4,4,3,3,3,3,4,3,48,62,82,90,0,4,0,99,208/223,1,13,28,0,1,48,6,1,1,1,1,2,1,1982,1164,33,70,392,385,387,11,11,11,0,41,2,4,10,6,18,16,10,3,1,0,25,0,0,2,505,265957,167587,433544,324312,634186,958498,27697,34126,61823,0,0,20000,0,0,5097,1478962,69035,143745,212780,52467,205754,261327,22744,86929,629222,634186,0,1476188,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
306,1,1,2,2,-5,-5,-5,-5,-5,1,3,5,1,1,1,2,2,-4,3,2,4,4,1,1,610,3,2,3,2,3,3,3,3,4,4,4,4,3,-2,-2,125,58,-2,17,7,95,-2,3,22,23,0,1,51,6,1,1,1,1,3,1,1988,1480,43,89,415,490,575,12,14,17,0,43,4,7,7,9,18,21,12,7,4,0,40,0,0,0,464,228768,215963,444731,408948,699468,1108415,10161,13264,23426,0,2500,23000,0,0,56235,1658307,84257,128335,212592,111991,220323,219415,39823,103032,694585,699033,0,1606210,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
307,2,1,1,2,-5,-5,-5,-5,-5,1,4,10,2,1,1,1,1,-4,3,3,3,1,3,1,611,4,2,3,3,5,4,4,2,4,4,4,4,3,30,40,120,150,0,3,12,99.5,206/221,1,62,11,0,1,35,6,1,2,1,1,1,1,1938,1160,36,75,393,386,381,12,12,12,0,2,0,3,11,10,10,19,11,5,6,0,19,0,0,0,437,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5494,1306745,40,1312279,0,0,35000,0,35000,2712343,378657,3091000,771,37800,38570,0,0,0,0,312728,653611,966340,13468,5456657,4000145,264256,0,5771,2997,0,510,0,0,216242,0,0,60759,18619,116184,141801,9376,0,0,613474,960212,5450132
308,2,1,2,1,30,70,-4,-4,-4,1,4,4,2,1,2,1,1,09,4,4,4,1,2,1,509,4,4,4,3,3,4,4,3,4,4,4,4,3,41,25,124,136,30,10,10,98,217/223,1,43,10,0,1,47,6,1,2,1,1,2,1,1910,1595,45,92,528,539,528,15,15,15,0,45,2,2,15,16,24,18,7,8,0,0,28,0,0,0,677,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6535,1600013,1182,1607730,0,0,57572,39770,97342,2536989,1205185,3742174,2150,290792,292943,896,0,0,0,371482,814214,1185697,10463,6937244,4126730,353692,16630,7005,0,0,0,0,0,1226064,0,0,68364,29215,141060,128561,4141,0,0,813410,1184752,6914873
309,2,1,2,2,-5,-5,-5,-5,-5,1,4,8,2,1,1,1,2,-4,4,4,5,3,1,1,610,4,3,3,3,3,3,4,3,4,3,3,4,3,39,15,159,134,7,6,8,97,212/220,11,40,10,0,1,46,6,1,2,1,1,2,1,1930,1345,42,85,455,456,434,14,14,14,0,44,3,11,16,11,11,13,10,6,4,0,28,0,0,1,580,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6535,1600013,1182,1607730,0,0,57572,39770,97342,2536989,1205185,3742174,2150,290792,292943,896,0,0,0,371482,814214,1185697,10463,6937244,4126730,353692,16630,7005,0,0,0,0,0,1226064,0,0,68364,29215,141060,128561,4141,0,0,813410,1184752,6914873
310,2,1,2,1,30,70,-4,-4,-4,1,4,4,2,1,2,2,2,09,4,4,4,1,2,1,611,4,4,4,3,3,4,4,3,4,4,4,4,3,40,20,92,136,40,10,25,98,217/225,1,45,9,0,1,41,6,1,2,1,1,2,1,1978,959,28,57,333,347,279,10,10,8,0,16,0,1,6,3,5,13,17,8,4,0,19,0,0,0,377,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4576,1150089,1213,1155877,107416,7857,41951,148886,306110,2157476,144860,2302336,63075,65748,128823,0,0,0,0,273251,667472,940723,7695,4841564,3422446,234304,2400,5568,2750,0,0,0,0,134203,0,0,50745,25679,106410,32223,6203,0,0,588391,809650,4611321
