BYAID,BYA01001,BYA02001,BYA02002C1,BYA02002C2,BYA02002C3,BYA02002C4,BYA02002C5,BYA02003,BYA02004,BYA02005,BYA02006,BYA03001,BYA03002,BYA03003,BYA03004,BYA03005C,BYA03006,BYA03007,BYA03008,BYA04001,BYA04003,BYA04004,BYA04005C,BYA04006,BYA05001,BYA05002,BYA05003,BYA05004,BYA05005,BYA05006,BYA05007,BYA05008,BYA05009,BYA05010,BYA05011,BYA05012,BYA05013,BYA06001,BYA06002,BYA06003,BYA06004,BYA06007,BYA06008,BYA06009,BYA06010,BYA06011,BYA06012,BYA06013,BYA06014,BYA06015,BYA07001,BYA07002,BYA08001,BYA08002,BYA08004,BYA08005,BYA08006,BYA08007,BYA08008,BYA08009,BYA08010,BYA08011,BYA08012,BYA08013,BYA08014,BYA08015,BYA08016,BYA08017,BYA08018,BYA08019,BYA08020,BYA08021,BYA08022,BYA08023,BYA08024,BYA08025,BYA08026,BYA08027,BYA08028,BYA08029,BYA08030,BYA08031,BYA08032,BYA08033,BYA08034,BYA08035,BYA09001,BYA09002,BYA09003,BYA09004,BYA09005,BYA09006,BYA09007,BYA09008,BYA09009,BYA09010,BYA09011,BYA09012,BYA09013,BYA09014,BYA09015,BYA09016,BYA09017,BYA09018,BYA09019,BYA09020,BYA09021,BYA09022,BYA09023,BYA09024,BYA09025,BYA09026,BYA09027,BYA09028,BYA10001,BYA10002,BYA10003,BYA10004,BYA10005,BYA10006,BYA10007,BYA10008,BYA10009,BYA10010,BYA10011,BYA10012,BYA10013,BYA10014,BYA10015,BYA10016,BYA10017,BYA10018,BYA10019,BYA10020,BYA10021,BYA10022,BYA10023,BYA10024,BYA10025,BYA10026,BYA10027,BYA10028,BYA10029,BYA10030,BYA10031,BYA10032,BYA10033,BYA10034,BYA10035,BYA10036,BYA10037,BYA10038,BYA10039,BYA10040,BYA10041,BYA10042,BYA10043,BYA10044,BYA10045,BYA10046
201,2,2,-5,-5,-5,-5,-5,1,2,4,1,1,1,2,2,-4,3,3,3,3,3,1,611,2,2,2,3,2,3,2,2,3,2,2,3,3,3,4,7,117,10,82,70,218,98.5,215/221,6,44,1,0,1,48,3,1,2,1,1,3,1,1956,732,24,47,262,228,242,8,8,8,0,6,0,1,9,1,9,13,3,8,3,0,14,0,0,1,246,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3631,603033,786,607450,66018,4926,30931,59126,161000,1859000,723646,2582646,4,35445,35449,598,0,0,0,170653,249951,420604,49890,3857637,2636537,265025,40041,6487,115346,16788,0,0,0,310795,0,0,38680,16491,52679,72355,9291,0,0,224986,414482,3805501
202,2,2,-5,-5,-5,-5,-5,2,-5,-5,1,1,2,1,2,-4,3,2,2,1,3,1,712,3,3,3,4,3,2,3,2,4,4,4,4,2,2,20,12,2,4,127,69,4,96.9,186/220,1,1,13,0,1,50,3,1,2,1,1,2,1,1982,610,22,49,158,187,265,5,7,10,0,7,1,0,0,4,21,11,7,5,0,0,15,0,0,0,248,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2219,458658,811,461688,0,0,36000,0,36000,2123148,1115055,3238203,61376,0,61376,1042,0,0,0,165344,72295,237639,6771,4042718,2644294,486180,0,2140,19774,2259,1447,0,0,614489,0,0,39679,6829,57525,47591,821,0,0,72333,224778,3995360
203,2,1,70,30,-4,-4,-4,1,3,5,1,1,1,1,1,03,4,3,4,1,2,1,408,4,4,4,4,3,4,4,2,5,4,4,4,3,3,35,193,15,22,190,21,13,97.22,195/221,11,39,20,1,1,42,3,1,2,1,1,2,1,1987,1280,39,79,391,386,503,12,12,15,0,55,0,15,5,21,21,10,2,5,0,0,18,0,0,1,634,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5398,1159287,1574,1166258,0,0,33500,0,33500,2342936,836147,3179083,15186,0,15186,16109,0,0,0,893957,485888,1379844,72577,5862557,3650265,261362,76258,5833,139022,1407,0,5556,0,44962,0,0,60690,32374,93130,382139,48336,0,0,607701,1224370,5409034
204,2,1,70,30,-4,-4,-4,2,-5,-5,1,1,1,2,2,-4,4,3,2,2,3,1,408,3,1,2,4,3,3,5,1,4,5,4,4,4,4,16,16,37,54,32,41,3,87,186/221,5,2,0,0,1,49,2,1,2,1,1,3,1,1992,576,18,42,197,188,191,6,6,6,0,7,0,0,2,1,10,11,13,3,2,0,20,0,0,0,203,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2767,539372,928,543067,0,0,23700,0,23700,2143121,654449,2797570,36521,18872,55393,2918,0,0,0,180370,41470,221840,1951,3646439,2580363,175870,4797,0,111561,14692,0,0,0,349929,0,0,34523,51269,52281,32688,50117,0,0,140934,361811,3599022
205,2,2,-5,-5,-5,-5,-5,1,2,5,1,1,1,2,1,08,5,4,5,1,2,1,101,2,5,5,5,4,5,5,1,5,5,5,5,4,4,57,20,37,91,53,13,32,99.5,210/221,0,32,0,0,1,45,2,1,2,1,1,3,1,1994,779,24,60,270,255,254,8,8,8,0,7,0,6,11,11,18,8,4,1,1,0,27,0,0,0,258,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3631,678901,925,683456,26840,1939,9821,0,38600,2249040,1139759,3388799,55062,0,55062,1195,0,0,0,235419,289712,525131,23233,4715475,2990135,481273,2537,4135,451166,1443,0,0,0,229858,0,0,46170,13716,6702,101826,4160,0,0,260855,433429,4593975
206,2,2,-5,-5,-5,-5,-5,2,-5,-5,1,1,1,2,1,-4,3,3,4,3,3,1,101,3,3,3,4,5,3,3,1,3,3,3,3,3,4,0,53,4,17,88,29,0,96,192/223,5,22,8,0,1,55,3,1,2,1,1,3,1,1941,556,18,35,194,182,180,6,6,6,0,3,0,0,0,5,9,9,4,8,0,0,14,0,0,0,162,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2726,431298,593,434617,0,0,3900,0,3900,1512149,506891,2019040,1261,17230,18490,0,0,0,0,132643,129733,262376,17935,2756359,2026407,120835,0,2777,174126,1225,0,0,0,43695,0,0,31440,19334,56260,24369,16019,0,0,193715,341137,2710202
207,2,2,-5,-5,-5,-5,-5,2,-5,-5,1,1,2,2,1,05,3,3,4,1,2,2,-5,3,2,5,3,4,4,4,1,4,4,4,4,3,4,80,90,1,7,62,46,10,97,207/221,7,23,6,0,2,45,2,1,2,1,2,3,1,1995,534,18,37,199,158,177,6,6,6,0,8,1,7,6,4,10,7,0,0,1,0,16,0,0,0,174,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2740,436022,503,439265,0,0,10904,0,10904,1308685,1559352,2868037,0,0,0,300,0,0,0,128574,226839,355413,7798,3681716,1771628,338413,64146,0,0,0,0,42000,100,1118182,0,0,27226,3808,29931,59428,0,0,0,226839,347232,3681702
208,1,2,-5,-5,-5,-5,-5,1,2,15,2,1,1,2,2,-4,3,5,5,1,3,1,307,3,3,3,3,4,3,3,2,5,5,4,4,2,4,57,86,8,12,216,19,34,85,231/232,8,29,18,11,1,49,2,1,1,1,1,3,1,1964,1081,42,112,408,297,376,14,14,14,0,34,3,5,7,15,31,17,13,13,8,0,39,0,0,3,347,649524,1020257,1669781,265120,216207,481327,14704,17205,31909,533,12000,90123,0,0,86364,2372037,95307,43563,138870,297606,1130115,340567,27376,174589,1970252,215609,0,2324731,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
209,1,2,-5,-5,-5,-5,-5,1,1,2,2,1,1,2,2,-4,3,4,4,2,3,1,712,4,2,4,5,2,2,4,1,4,4,4,4,1,3,16,141,10,12,157,16,0,96.2,194/222,2,19,8,0,1,45,2,1,1,1,1,3,1,1994,756,24,61,266,246,244,8,8,8,0,26,0,7,3,9,12,15,8,6,1,0,27,0,0,1,257,348031,429788,777819,203313,209532,412845,13831,10848,24679,462,0,20000,0,0,37652,1273456,58097,96253,154350,158704,346701,168663,23376,174529,871973,209532,0,1235855,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
210,2,1,10,70,30,92,-4,1,2,1,2,1,1,1,2,08,3,1,4,1,1,1,307,4,4,4,4,4,4,4,2,4,4,4,4,3,3,25,56,8,4,178,13,10,99.18,208/223,5,6,0,0,1,44,3,1,2,1,1,2,1,1985,844,27,56,287,276,281,9,9,9,0,41,0,3,5,10,27,10,0,1,0,0,22,0,0,0,292,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3959,782847,971,787778,0,0,2504,0,2504,2091166,780426,2871592,8077,0,8077,0,0,20000,0,212394,273832,486226,4172,4180349,2869990,388287,0,0,0,41952,1590,20000,0,281736,0,0,43308,9231,15905,145883,7923,0,0,274042,496292,4099847
