BYSID,J007C,J009
9967,242,1
9967,242,1
9967,322,1
9966,321,1
9966,321,1
9966,324,1
9966,321,1
9965,1723,1
9965,1723,1
9965,1723,1
9965,874,2
9963,1581,1
9963,1583,1
9963,1583,1
9963,1332,1
9963,1581,1
9963,1332,1
9962,1583,1
9962,1020,1
9961,1911,1
9961,1970,1
9961,1970,1
9960,451,1
9960,451,1
9960,451,2
9960,450,1
9960,450,2
9959,1014,1
9959,220,1
9958,1931,1
9958,252,2
9957,1939,1
9957,2031,1
9957,879,1
9956,252,2
9955,1032,1
9955,1032,1
9955,252,2
9954,1970,1
9953,2020,1
9953,864,1
9953,864,1
9953,1014,1
9952,851,1
9952,851,1
9952,851,1
9952,853,1
9952,959,1
9951,221,1
9951,221,1
9951,221,1
9950,651,1
9950,651,1
9950,651,1
9949,221,1
9949,1911,1
9949,1911,1
9948,1411,1
9948,1410,1
9947,1650,1
9947,1650,1
9947,1540,1
9947,1540,1
9947,1114,2
9947,1960,1
9946,220,1
9945,232,1
9945,953,1
9945,953,1
9945,1250,1
9944,462,1
9944,2212,1
9943,1911,1
9943,1910,1
9943,1910,1
9942,451,1
9942,451,1
9942,451,1
9941,242,1
9941,2030,1
9941,2030,2
9940,852,1
9940,852,1
9940,855,1
9940,855,1
9940,854,1
9940,854,1
9940,854,2
9939,2028,1
9939,2026,1
9938,224,2
9938,224,1
9938,224,1
9938,224,1
9937,1540,1
9937,1540,1
9937,1540,1
9937,1540,2
9936,223,1
9936,224,1
9936,224,1
9935,224,1
9935,1610,1
9935,220,1
9934,1911,1
9934,1911,1
9934,2023,1
9933,664,1
9933,664,1
9933,664,1
9933,664,2
9933,664,2
9933,664,1
9932,850,1
9932,850,1
9932,854,1
9931,224,1
9931,221,1
9931,221,1
9930,1250,1
9930,231,1
9929,1014,1
9929,1014,1
9929,1014,1
9929,226,1
9927,226,1
9927,226,1
9927,432,2
9926,1032,1
9926,220,2
9926,252,2
9926,463,2
9925,830,1
9925,830,1
9925,830,1
9924,224,1
9924,224,1
9924,224,1
9923,2024,1
9923,2027,1
9923,713,1
9922,2020,1
9922,2028,1
9921,224,1
9921,224,1
9921,1014,1
9920,722,1
9920,722,1
9920,722,1
9920,224,1
9919,221,1
9919,220,1
9919,1032,1
9919,841,1
9918,221,1
9918,221,1
9918,221,1
9917,1640,1
9917,1640,1
9917,1640,1
9916,1014,2
9916,1014,1
9915,219,1
9915,219,1
9914,651,1
9914,651,1
9914,651,1
9913,855,1
9913,1032,1
9913,1043,2
9912,2241,1
9912,2241,1
9911,1237,2
9911,1237,2
9911,1331,2
9910,1133,2
9910,220,1
9910,1522,1
9910,1529,1
9909,220,1
9909,220,2
9909,873,2
9909,1960,2
9908,1540,1
9908,1540,1
9908,1540,1
9907,855,1
9907,855,1
