BYSID,Influence_cate,Influence_cate_one,Feeling_cate,consideration_cate,Intuition_cate,Sensing_cate,GENDER,jobselect1st,jobselect2nd,jobSuccess,careerMaturity_cate,selfConcept_cate,lifeSelfConfidence_cate,emotionalStability_cate,schLecSatisfi_cate,schFacilSatisfi_cate,teacherRel_cate,careerInfo_cate,selfUnderstanding_cate,careerSelfEfficacy_cate,liberalArts_cate,naturalSciences_cate,foreignLanguage_cate,physical_cate,faAttention_cate,moAttention_cate,BYS22001,BYS22002,BYS23002,BYS23003,BYS23004,BYS04008,BYS04009,sch_code,AT_05,club,father_job,col_major,h_major,col_major,LN_house_income,house_income_cat,J007C
5002,1,0,0,1,2,1,2,2,2,2,2,2,2,2,2,4,1,4,3,2,3,2,3,4,4,4,1,3,2,3,1,1,2,8,1,11,3,5,1,5,5.501258211,3,1
5005,1,0,0,2,1,1,1,1,1,1,3,3,3,2,2,3,1,3,3,4,2,3,2,4,3,3,1,7,8,1,4,1,4,9,2,8,3,4,2,4,4.976733742,2,4
5009,2,1,0,2,1,1,2,1,1,1,4,4,4,2,3,2,1,5,4,3,3,2,2,3,4,4,1,6,1,4,4,2,1,8,1,11,4,7,1,7,5.703782475,3,2
5010,1,0,1,1,1,2,2,1,2,1,4,3,2,1,3,2,1,3,4,3,3,2,4,5,3,3,2,1,1,3,2,1,5,8,1,0,4,3,1,3,5.438079309,3,1
5014,2,1,1,1,1,1,2,1,2,1,3,3,2,1,2,2,1,3,3,3,3,2,3,1,2,3,2,6,1,2,4,1,3,8,1,11,2,0,1,0,5.272999559,2,1
5015,2,1,0,2,1,2,1,1,2,1,3,4,4,2,3,2,2,3,3,4,3,3,2,5,4,5,1,9,1,7,3,1,4,8,0,0,1,2,1,2,5.843544417,4,3
5018,1,0,1,1,1,1,1,1,2,1,2,2,2,2,2,3,2,3,2,2,2,3,3,1,3,3,2,5,1,6,2,1,3,8,1,0,4,2,1,2,4.65396035,2,3
5020,1,0,1,1,1,1,2,2,1,1,2,2,2,2,3,3,1,3,2,2,2,2,2,4,4,3,8,2,3,1,3,1,2,9,2,21,4,5,2,5,5.686975356,3,4
5025,2,1,1,1,1,1,1,1,2,1,3,3,3,1,2,2,1,3,3,3,3,2,3,4,3,4,1,2,1,2,2,6,1,9,2,0,4,4,2,4,5.686975356,3,2
5026,1,0,1,2,1,1,1,1,2,1,3,2,2,1,2,2,1,3,3,3,2,3,2,3,3,3,2,3,1,2,2,4,3,9,2,0,4,5,2,5,5.438079309,3,4
5028,1,0,1,1,1,1,2,1,1,1,3,3,4,2,2,3,1,3,2,4,3,1,3,4,4,4,6,7,1,5,2,2,1,8,1,5,4,2,1,2,5.686975356,3,1
5031,1,0,1,1,1,1,2,1,2,2,3,2,2,1,2,2,1,2,3,3,2,3,2,2,3,4,8,1,1,2,1,1,5,8,0,0,3,2,1,2,5.37815,3,1
5032,2,1,1,2,2,1,2,1,2,1,3,3,3,1,2,3,1,3,4,2,3,3,3,3,4,4,8,7,1,2,5,1,5,9,2,24,4,6,2,6,5.598421959,3,1
5033,2,1,1,1,2,2,1,1,2,1,3,3,4,1,3,3,1,3,3,3,2,2,2,4,3,3,2,3,8,2,2,1,4,8,0,0,3,7,1,7,5.686975356,3,3
5034,2,1,1,2,1,1,1,2,2,1,3,3,3,1,1,3,1,4,4,3,3,2,4,4,3,4,1,8,3,6,4,3,4,8,1,0,1,0,1,0,5.37815,3,1
5035,2,1,1,2,1,1,1,1,2,2,3,3,3,2,3,3,1,3,3,4,2,3,3,4,3,3,1,3,1,2,1,4,1,9,2,15,1,5,2,5,5.501258211,3,3
5036,1,0,0,1,2,1,1,1,2,1,3,3,3,2,2,4,1,3,3,3,2,3,3,4,3,3,1,3,1,2,2,3,4,9,2,15,4,2,2,2,5.272999559,2,4
5037,1,0,0,1,1,1,1,2,2,1,2,2,2,2,2,2,1,3,2,3,3,2,2,2,3,3,1,8,3,9,4,1,3,8,1,0,4,2,1,2,5.298317367,2,3
5041,2,1,0,2,2,2,1,1,2,1,4,3,3,3,2,3,1,5,5,4,3,4,2,3,3,4,2,1,1,2,4,4,1,9,1,0,0,0,2,0,5.37815,3,2
5046,1,0,0,2,2,2,2,1,2,1,4,4,5,1,3,4,1,5,4,4,3,3,5,5,3,3,2,6,1,2,2,1,5,9,2,0,0,5,2,5,4.17438727,1,1
5047,1,0,1,3,2,2,1,1,2,1,3,2,2,2,2,1,1,3,3,2,2,1,1,4,4,4,1,2,1,2,2,4,1,8,1,15,5,7,1,7,4.976733742,2,1
5052,2,1,1,1,1,1,2,1,1,1,3,3,3,1,2,2,1,3,3,3,3,2,3,3,3,3,6,3,4,1,4,1,4,8,1,0,4,2,1,2,4.976733742,2,1
5054,1,0,1,2,2,1,2,2,1,1,3,2,2,1,3,4,1,3,3,2,2,2,3,1,3,4,8,10,3,1,2,3,1,9,1,0,2,0,2,0,5.799092654,4,3
5055,1,0,0,1,1,1,1,1,2,1,4,3,3,1,2,4,1,2,4,4,2,3,4,4,4,4,1,2,1,2,3,4,3,9,2,15,5,4,2,4,5.843544417,4,4
5056,1,0,0,2,1,1,1,1,2,1,3,3,3,1,4,3,1,3,4,3,1,2,3,1,3,3,1,2,1,2,2,4,5,8,0,0,0,0,4,0,4.317488114,1,3
5058,1,0,1,1,1,1,2,2,2,1,4,4,3,1,3,1,1,5,4,4,3,3,4,3,4,4,9,2,6,3,2,1,3,8,1,0,1,0,1,0,5.978885765,4,1
5059,2,1,1,2,1,1,2,1,1,1,3,3,3,2,2,3,1,4,4,3,3,3,3,3,2,3,2,7,1,8,4,2,1,8,0,6,0,7,1,7,3.555348061,1,3
5060,1,0,0,1,1,1,1,1,2,1,2,3,2,2,3,3,1,3,2,3,3,2,2,2,3,4,1,2,1,3,2,4,3,9,2,0,1,0,2,0,5.686975356,3,4
5064,1,0,2,1,1,1,2,1,2,1,2,2,2,2,2,3,1,3,3,2,3,2,3,3,3,3,2,3,1,2,3,3,1,8,1,3,1,2,1,2,6.204557763,4,1
5065,1,0,0,1,1,1,1,2,2,1,3,2,1,1,3,3,1,3,3,3,1,3,2,3,3,3,3,9,3,9,4,1,4,9,2,0,5,5,2,5,5.843544417,4,2
5068,1,0,1,1,2,2,1,1,2,1,4,4,4,1,3,3,1,3,5,3,4,1,4,4,4,4,9,2,1,6,3,6,3,8,1,19,1,3,1,3,6.396929655,5,1
5069,2,1,1,1,1,1,1,2,1,1,3,3,3,2,2,2,1,4,3,3,3,1,3,3,3,3,3,2,2,1,4,3,1,8,1,30,1,2,1,2,5.978885765,4,1
