BYS02001,BYS02002,BYS02005,BYS02006,BYS02007,BYS02008,BYS02009,BYS02010,BYS02011,BYS03002,BYS03003,BYS03004,BYS04001,BYS04002,BYS04003,BYS04004,BYS04005,BYS04006,BYS07015,BYS07016,BYS07017,BYS07018,BYS07019,BYS07020,BYS07021,BYS07028,BYS08008,BYS10004,BYS11007,BYS11008,BYS11009,BYS11010,BYS11011,BYS11012,BYS11013,BYS11014,BYS11015,BYS11016,BYS12025,BYS20022,BYS22004,BYS22005,BYS22007,BYS22008,BYS22009,BYS22016,BYS23001,BYS24003,BYS24004,BYS26008,BYS32001,BYS32002,BYS32003,BYS32004,BYS32005,BYS32006,BYS32007,BYS32008,BYS32009,BYS32010,BYSID
3,3,3,3,4,5,3,3,5,1,2,2,2,3,2,5,3,3,5,5,5,5,5,4,5,4,4,2,4,3,4,3,4,4,4,1,5,4,3,1,2,3,3,3,3,3,1,160,58,1,1,1,2,2,3,2,4,3,3,3,5002
3,3,1,2,3,2,1,3,4,1,1,1,5,1,4,5,3,4,4,4,4,4,3,2,4,3,3,3,5,4,3,2,5,5,3,3,4,2,5,2,3,4,3,4,5,4,3,170,61,1,1,1,2,5,3,4,5,3,3,5,5003
4,3,3,4,4,4,3,4,3,1,1,1,3,4,3,3,3,3,4,5,4,4,4,4,4,4,1,2,1,1,3,3,5,4,3,3,3,2,3,2,5,3,3,5,4,3,1,172,88,2,2,1,2,3,2,2,4,4,4,3,5004
4,2,2,5,4,3,3,4,3,2,1,2,2,4,3,3,3,4,4,4,4,3,4,4,3,3,2,3,4,4,3,3,3,4,3,2,4,5,3,1,4,3,3,4,4,4,4,174,54,2,1,1,2,3,3,3,4,3,4,4,5005
3,4,3,4,2,1,3,1,2,2,1,1,4,3,3,4,3,4,4,4,3,4,3,2,4,2,2,2,4,4,3,3,3,2,4,3,3,3,3,5,2,2,2,3,4,3,1,168,54,2,1,1,2,2,2,2,3,3,3,4,5008
3,4,2,2,4,4,3,2,2,2,1,1,4,5,4,5,4,5,5,3,4,5,4,5,5,2,1,2,1,1,5,3,5,4,3,3,4,3,5,2,4,4,3,5,5,4,4,160,58,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5009
4,3,3,3,2,2,4,3,3,2,1,2,4,3,2,5,3,4,3,4,3,3,3,2,2,1,4,1,1,1,3,3,3,3,2,2,5,5,2,2,3,2,3,4,5,4,3,156,54,1,1,1,2,3,2,4,3,4,5,5,5010
4,3,3,4,4,2,3,4,3,1,1,2,2,2,3,5,2,4,-5,-5,-5,-5,-5,-5,-5,3,14,4,5,2,3,3,1,1,1,1,5,4,4,11,2,3,2,4,4,3,3,165,67,1,1,1,2,2,2,3,5,2,4,5,5012
3,3,2,3,3,2,2,2,3,1,1,1,4,3,4,4,4,4,3,3,3,3,3,2,3,1,2,2,2,2,4,3,3,3,3,4,1,1,4,11,2,3,3,3,3,4,4,155,38,2,1,1,2,5,1,1,4,3,2,5,5014
4,4,4,5,3,3,2,1,2,2,2,2,3,4,4,4,3,5,5,5,5,5,5,1,5,3,2,1,3,2,3,2,5,4,3,3,5,5,3,7,4,4,3,5,5,4,1,185,59,2,1,1,2,2,3,4,4,3,3,4,5015
